Key,Description,en,ja
ah94-mpMissions_ah94_mp1_b5,Text from a mission briefing.,"Finally, while we have you on station and are maintaining air superiority, we need you to find the HQ that the enemy has set up downtown.  They are storing valuable supplies and equipment there, so destroy everything you find.","最後に、君たちが駐留して制空権を保っている間に、敵がダウンタウンに設置した本部を見つけてほしい。 そこには貴重な物資や機材が保管されているので、見つけたものはすべて破壊してほしい。"
ah94-mpMissions_ah94_mp1_b6,Text from a mission briefing.,"SUMMARY
Objectives
 1. SEAD (MAD-4 and ship SAMs)
 2. Destroy enemy aircraft (with help)
 3. Escort Bravo on rescue mission
 4. Find and destroy assets at enemy HQ
Threats
 - SAMs, infantry, attack aircraft","概要
目的
 1. SEAD (MAD-4と艦載SAM)
 2. 敵航空機を撃墜する（支援あり）
 3. ブラボー救出作戦の護衛
 4. 敵本部のアセットを発見し、破壊する
脅威
 - SAM、歩兵、攻撃機"
ah94-mpMissions_ah94_mp2_coast_b0,Text from a mission briefing.,"Tonight, we're taking on a daring but crucial mission.

It's time to stop enemy's reign of terror.

We'll be launching from the carrier at midnight.","今夜は、大胆かつ重要なミッションに挑む。

敵の恐怖の支配を止める時だ。

我々は真夜中に空母から出撃する。"
ah94-mpMissions_ah94_mp2_coast_b1,Text from a mission briefing.,"The enemy leaders have been highly elusive, but thanks to our network of informants, we have intel that all of the top officials will be in Pike City to oversee an inspection of 5 new warships.","敵の首脳はなかなか姿を現さないが、情報提供者のネットワークのおかげで、新造船5隻の点検を監督するために、全幹部がパイクシティに来るという情報が入ってきた。"
ah94-mpMissions_ah94_mp2_coast_b2,Text from a mission briefing.,"The city, and the harbor especially, are heavily defended, but we can't pass up this opportunity.

Move towards the harbor, delaying detection as long as possible.  The moment they know we're here, the leaders will attempt to flee the city.","街と、特に港の守りは固いが、この機会を逃すわけにはいかない。

港に向かって移動し、できるだけ発見を遅らせてください。 我々がここにいることを知った瞬間、指導者たちは都市から逃げ出そうとするだろう。"
ah94-mpMissions_ah94_mp2_coast_b3,Text from a mission briefing.,"The primary objective is to assassinate the leaders, who will be riding in 3 armored personnel carriers (APCs).","主な目的は、3台の装甲兵員輸送車（APC）に乗ってくるリーダーを暗殺することです。"
ah94-mpMissions_ah94_mp2_coast_b4,Text from a mission briefing.,"We are also aware that mobile artillery units, both land and sea, are ready to deploy when provoked, so we must find them and destroy them before they can fire on our ships.","また、陸海空の移動砲兵隊は、挑発されればすぐにでも展開できる状態であることも承知しているので、艦船に砲撃する前に発見し、破壊しなければならない。"
ah94-mpMissions_ah94_mp2_coast_b5,Text from a mission briefing.,"Find and assassinate the leaders, destroy the artillery boats and trucks, then return to the carrier.","リーダーを見つけて速やかに暗殺し、砲兵艇とトラックを破壊して、空母に戻る。"
campaign_ah94-quickFlight_mp_name,Name of a campaign.,AH-94 Quick Flight,AH-94 クイックフライト
campaign_ah94-quickFlight_mp_description,Description of a campaign.,Quick flights and missions for the AH-94 Attack Helicopter.,AH-94攻撃ヘリコプターのクイックフライトとミッション
ah94-quickFlight_mp:ah94_mpFreeFlight_name,Name of a mission.,AH-94 Free Flight,AH-94 フリーフライト
ah94-quickFlight_mp:ah94_mpFreeFlight_description,Description of a mission.,"16 pilots, 8 choppers, 0 objectives.","パイロット16人、ヘリ8機、目標0個。"
ah94-quickFlight_mp:arcticAssault_name,Name of a mission.,Arctic Assault,アークティック アサルト
ah94-quickFlight_mp:arcticAssault_description,Description of a mission.,Scout targets for artillery and destroy anything that remains.,砲兵隊の目標を偵察し、残っているものを破壊せよ。
AH-94:ah94-quickFlight_mp:arcticAssault:obj_0:name,A mission objective name,Artillery Targets,砲兵の目標
AH-94:ah94-quickFlight_mp:arcticAssault:obj_0:info,Mission objective info.,Destroy any remaining targets at the waypoint.,ウェイポイントに残っているターゲットを破壊する。
AH-94:ah94-quickFlight_mp:arcticAssault:obj_1:name,A mission objective name,Armored Targets,機甲部隊ターゲット
AH-94:ah94-quickFlight_mp:arcticAssault:obj_1:info,Mission objective info.,Destroy the armored group moving towards our troops.,我が軍に向かってくる機甲部隊を撃破せよ。
AH-94:ah94-quickFlight_mp:arcticAssault:obj_2:name,A mission objective name,Find Targets,ターゲットを見つける
AH-94:ah94-quickFlight_mp:arcticAssault:obj_2:info,Mission objective info.,Pinpoint the location of targets at the waypoint.,ウェイポイントにあるターゲットの位置をピンポイントで確認する
AH-94:ah94-quickFlight_mp:arcticAssault:obj_3:name,A mission objective name,Destroy Targets,ターゲットを破壊する
AH-94:ah94-quickFlight_mp:arcticAssault:obj_3:info,Mission objective info.,Destroy the targets you found. Artillery will assist.,発見したターゲットを破壊する。砲兵隊が支援する。
AH-94:ah94-quickFlight_mp:arcticAssault:obj_4:name,A mission objective name,Destroy MAD-4,MAD-4を破壊せよ
AH-94:ah94-quickFlight_mp:arcticAssault:obj_4:info,Mission objective info.,Destroy enemy air defenses to allow bombers to pass.,敵の防空壕を破壊して爆撃機の通行を可能にする。
AH-94:ah94-quickFlight_mp:arcticAssault:obj_5:name,A mission objective name,RTB,RTB基地に戻る
AH-94:ah94-quickFlight_mp:arcticAssault:obj_5:info,Mission objective info.,Return to the FARP.,FARPに戻る
ah94-quickFlight_mp:flightPractice_name,Name of a mission.,Flight Practice,飛行訓練
ah94-quickFlight_mp:flightPractice_description,Description of a mission.,"Practice take off, flight, and landing in various locations.","様々な場所で離陸、飛行、着陸の練習を行います。"
AH-94:ah94-quickFlight_mp:flightPractice:obj_0:name,A mission objective name,Take Off,離陸
AH-94:ah94-quickFlight_mp:flightPractice:obj_0:info,Mission objective info.,Take off to 50ft.,50フィートまで上昇
AH-94:ah94-quickFlight_mp:flightPractice:obj_1:name,A mission objective name,Land Pad 1,パッド1へ着陸
AH-94:ah94-quickFlight_mp:flightPractice:obj_1:info,Mission objective info.,Land on the same pad you took off from.,離陸したのと同じパッドに着陸する
AH-94:ah94-quickFlight_mp:flightPractice:obj_2:name,A mission objective name,Short Hop,ショートホップ
AH-94:ah94-quickFlight_mp:flightPractice:obj_2:info,Mission objective info.,Land on Pad 2,パッド2へ着陸
AH-94:ah94-quickFlight_mp:flightPractice:obj_3:name,A mission objective name,Medium Hop,ミディアムホップ
AH-94:ah94-quickFlight_mp:flightPractice:obj_3:info,Mission objective info.,Slight turn to Pad 3,パッド3へのスライトターン
AH-94:ah94-quickFlight_mp:flightPractice:obj_4:name,A mission objective name,Long Hop,ロングホップ
AH-94:ah94-quickFlight_mp:flightPractice:obj_4:info,Mission objective info.,Long hop to pad 4.  Small pad!,パッド4へ　ロングホップ。 小さいパッド
AH-94:ah94-quickFlight_mp:flightPractice:obj_5:name,A mission objective name,Tight Spot,狭い場所
AH-94:ah94-quickFlight_mp:flightPractice:obj_5:info,Mission objective info.,Land on the pad between the buildings.,ビルの間のパッドに着陸する。
AH-94:ah94-quickFlight_mp:flightPractice:obj_6:name,A mission objective name,Rooftop 1,屋上 1
AH-94:ah94-quickFlight_mp:flightPractice:obj_6:info,Mission objective info.,Land on the rooftop.,屋上への着陸 1
AH-94:ah94-quickFlight_mp:flightPractice:obj_7:name,A mission objective name,Rooftop 2,屋上 2
AH-94:ah94-quickFlight_mp:flightPractice:obj_7:info,Mission objective info.,Land on the rooftop 2.,屋上への着陸 2
AH-94:ah94-quickFlight_mp:flightPractice:obj_8:name,A mission objective name,Dock Pad,ドックパッド
AH-94:ah94-quickFlight_mp:flightPractice:obj_8:info,Mission objective info.,,
AH-94:ah94-quickFlight_mp:flightPractice:obj_9:name,A mission objective name,Cross Country,クロスカントリー
AH-94:ah94-quickFlight_mp:flightPractice:obj_9:info,Mission objective info.,Land on the rooftop in the next city.,次の街の屋上に着地する。
AH-94:ah94-quickFlight_mp:flightPractice:obj_10:name,A mission objective name,Cruiser,クルーザー
AH-94:ah94-quickFlight_mp:flightPractice:obj_10:info,Mission objective info.,Land on the cruiser deck.,クルーザーデッキに着艦する。
ah94-quickFlight_mp:smallArms_name,Name of a mission.,Small Arms,軽い防御
ah94-quickFlight_mp:smallArms_description,Description of a mission.,Attack lightly defended enemy encampments.,軽く防御された敵の野営地を攻撃する。
AH-94:ah94-quickFlight_mp:smallArms:obj_0:name,A mission objective name,Target Outpost A,目標 前哨基地 A
AH-94:ah94-quickFlight_mp:smallArms:obj_0:info,Mission objective info.,Destroy all units at the waypoint.,ウェイポイントにいるすべてのユニットを破壊する。
AH-94:ah94-quickFlight_mp:smallArms:obj_1:name,A mission objective name,Target Outpost B,目標 前哨基地 B
AH-94:ah94-quickFlight_mp:smallArms:obj_1:info,Mission objective info.,Destroy all units at the waypoint.,ウェイポイントにいるすべてのユニットを破壊する。
AH-94:ah94-quickFlight_mp:smallArms:obj_2:name,A mission objective name,Recon,
AH-94:ah94-quickFlight_mp:smallArms:obj_2:info,Mission objective info.,Fly to the designated area.,指定された場所に飛ぶ。
AH-94:ah94-quickFlight_mp:smallArms:obj_3:name,A mission objective name,Find Targets,ターゲットを探す
AH-94:ah94-quickFlight_mp:smallArms:obj_3:info,Mission objective info.,Use TADS to get an ID on targets in the area.,TADSを使用して、周辺のターゲットのIDを取得する。
AH-94:ah94-quickFlight_mp:smallArms:obj_4:name,A mission objective name,Destroy Radar,レーダー破壊
AH-94:ah94-quickFlight_mp:smallArms:obj_4:info,Mission objective info.,Destroy the radar on the mountain site.,山のサイトのレーダーを破壊する。
AH-94:ah94-quickFlight_mp:smallArms:obj_5:name,A mission objective name,RTB,RTB基地に戻る
AH-94:ah94-quickFlight_mp:smallArms:obj_5:info,Mission objective info.,Land anywhere at base.,基地のどこにでも着陸できる。
ah94-quickFlight_mp:surpriseAttack_name,Name of a mission.,Surprise Attack,サプライズアタック
ah94-quickFlight_mp:surpriseAttack_description,Description of a mission.,Surprise the enemy with a quick and sneaky attack on their airbase.,敵の空軍基地を素早く、こっそりと攻撃して驚かせる。
AH-94:ah94-quickFlight_mp:surpriseAttack:obj_0:name,A mission objective name,Destroy Aircraft,敵戦闘機破壊
AH-94:ah94-quickFlight_mp:surpriseAttack:obj_0:info,Mission objective info.,Wait for bomber to land then destroy the aircraft before they take off!,爆撃機の着陸後、離陸する前に地上の敵戦闘機を破壊せよ!
AH-94:ah94-quickFlight_mp:surpriseAttack:obj_1:name,A mission objective name,RTB,RTB基地に戻る
AH-94:ah94-quickFlight_mp:surpriseAttack:obj_1:info,Mission objective info.,Return to the FARP.,FARPに戻る
ah94-quickFlight_mp:Target Practice_name,Name of a mission.,Target Practice,ターゲット攻撃練習
ah94-quickFlight_mp:Target Practice_description,Description of a mission.,Practice using the AH-94's weapons on various targets.,AH-94の武器を様々なターゲットに使用する練習をします。
AH-94:ah94-quickFlight_mp:Target Practice:obj_0:name,A mission objective name,Beach Targets,海岸のターゲット
AH-94:ah94-quickFlight_mp:Target Practice:obj_0:info,Mission objective info.,Destroy the stationary targets at the beach.,海岸にある静止した標的を破壊する。
AH-94:ah94-quickFlight_mp:Target Practice:obj_1:name,A mission objective name,Downtown MAD Targets,ダウンタウンMAD目標
AH-94:ah94-quickFlight_mp:Target Practice:obj_1:info,Mission objective info.,Destroy the MAD-4 launchers stationed between the skyscrapers.,高層ビル群の間に設置されたMAD-4ランチャーを破壊せよ
AH-94:ah94-quickFlight_mp:Target Practice:obj_2:name,A mission objective name,Moving Targets 1,移動ターゲット1
AH-94:ah94-quickFlight_mp:Target Practice:obj_2:info,Mission objective info.,Destroy the column of tanks driving around the suburbs.,郊外を走る戦車の隊列を破壊せよ。
AH-94:ah94-quickFlight_mp:Target Practice:obj_3:name,A mission objective name,Moving Targets 2,移動ターゲット2
AH-94:ah94-quickFlight_mp:Target Practice:obj_3:info,Mission objective info.,Destroy the column of tanks driving around downtown.,ダウンタウンを走り回る戦車の隊列を破壊せよ。
AH-94:ah94-quickFlight_mp:Target Practice:obj_4:name,A mission objective name,Oil Platform Targets,石油施設ターゲット
AH-94:ah94-quickFlight_mp:Target Practice:obj_4:info,Mission objective info.,Neutralize the soldiers occupying the oil platform.,石油施設を占拠している兵士を無力化する。
AH-94:ah94-quickFlight_mp:Target Practice:obj_5:name,A mission objective name,Destroy Boats,敵船を破壊
AH-94:ah94-quickFlight_mp:Target Practice:obj_5:info,Mission objective info.,Destroy the boats in the channel.,海峡にいる敵船を破壊する。
AH-94:ah94-quickFlight_mp:Target Practice:obj_7:name,A mission objective name,Destroy Air Targets,敵機ターゲットを破壊する。
AH-94:ah94-quickFlight_mp:Target Practice:obj_7:info,Mission objective info.,Destroy the air targets patrolling the channel.,海峡をパトロールしている航空目標を破壊せよ。
ah94-quickFlight_mp_ah94_mpFreeFlight_b0,Text from a mission briefing.,"Free Flight

- No objectives","フリーフライト

- 目標なし"
ah94-quickFlight_mp_arcticAssault_b0,Text from a mission briefing.,"We're in the final stages of the assault on the enemy base.

We have the enemy right where we want them -- a small valley within range of our artillery.","敵基地への攻撃は最終段階に入っている。

敵は我々の望むところにいる。小さな谷で、我々の砲兵隊の射程内にある。"
ah94-quickFlight_mp_arcticAssault_b1,Text from a mission briefing.,"We'll begin firing rocket artillery and need you to scout out the enemy position to confirm their destruction.

Your job will be to clean up any targets that remain after the artillery barrage.","ロケット砲の発射を開始するので、敵の位置を偵察し、破壊を確認してほしい。

砲撃後に残った標的を掃討するのが君の仕事だ。"
ah94-quickFlight_mp_arcticAssault_b2,Text from a mission briefing.,"Once the main enemy battalion has been destroyed, we'll have you scout out and destroy a few other secondary targets to support our ground forces and clear the way for our bombers.","敵の主力大隊が破壊されたら、他の副次的な目標を偵察・破壊してもらい、地上部隊の支援と爆撃機のための道を確保してもらう。"
ah94-quickFlight_mp_arcticAssault_b3,Text from a mission briefing.,Your role is crucial in this final push towards victory. Good luck!,この勝利への最後の追い込みは、あなたの役割が重要なのです。頑張ってください。
ah94-quickFlight_mp_flightPractice_b0,Text from a mission briefing.,Practice taking off and landing in various locations.,さまざまな場所で離着陸の練習をする。
ah94-quickFlight_mp_flightPractice_b1,Text from a mission briefing.,Just follow each waypoint. Can you make each landing smoother or more efficient than the last?,各ウェイポイントに従うだけです。それぞれの着陸をよりスムーズに、より効率的に行えるか？
ah94-quickFlight_mp_flightPractice_b2,Text from a mission briefing.,Finish the mission by landing on the moving cruiser's deck.,移動中の巡洋艦の甲板に着艦してミッションを終了させる。
ah94-quickFlight_mp_smallArms_b0,Text from a mission briefing.,"Welcome!

I know you've been itching for a bit of action so I have a few tasks lined up for you today.

Let's get started.","ようこそ

今日は、あなたが何かやりたくてウズウズしているようなので、いくつか仕事を用意しておきました。

さっそく始めましょう。"
ah94-quickFlight_mp_smallArms_b1,Text from a mission briefing.,"A huge mountain range divides us from the enemy territory, so we usually don't get too much activity in the area.

Recently we began spotting small groups passing through and setting up small camps on our side of the ridge.","敵地との間には大きな山脈があり、普段はあまり活動することはない。

最近、小さな集団が通過し、尾根のこちら側に小さなキャンプを張っているのを見かけるようになった。"
ah94-quickFlight_mp_smallArms_b2,Text from a mission briefing.,"They appear to be setting up forward operating bases to service their VTOL capable attack aircraft.

They are still early in the preparation stage so we should attack now before they get too fortified.","彼らはVTOL可能な攻撃機を整備するため、前方作戦基地を設置しているようだ。

まだ準備段階なので、要塞化される前に攻撃する必要がある。"
ah94-quickFlight_mp_smallArms_b3,Text from a mission briefing.,"We currently have positive intel on two camps.  We know where they are, and that they're only equipped with small arms, so this should be a breeze for you.

Their locations are available in the objective data.","現在、2つのキャンプについて肯定的な情報を持っています。 場所はわかっているし、小火器しか装備していないので、楽勝でしょう。

彼らの位置は目標データで確認できます。"
ah94-quickFlight_mp_smallArms_b4,Text from a mission briefing.,"After you clear out those sites, there will be one more matter we need to look into.  

We are aware of transport activity in the high mountain region so we'll have you go and perform some recon.  Be sure to bring enough fuel.","その跡地を片付けたら、もう一つ調べておかなければならないことがある。 

高山地帯で輸送活動があるようなので、偵察に行ってもらう。 燃料は十分持ってくるように。"
ah94-quickFlight_mp_smallArms_b5,Text from a mission briefing.,"Absolutely never go beyond the mountain range and into the plains.

Beyond that point is the enemy territory which is heavily defended by long range air defenses and fighters.","絶対に山脈を越えて平野部には行かないでください。

その先は長距離防空網と戦闘機で厳重に防衛された敵地だ。"
ah94-quickFlight_mp_smallArms_b6,Text from a mission briefing.,"Summary
 Objectives
 - Destroy all targets at sites A and B
 - Perform recon in the high mountains
 Threats
 - Small arms fire
 - MANPADS","概要
 目的
 - サイトA、Bの全ターゲットを撃破せよ
 - 高山での偵察
 脅威
 - 小火器による攻撃
 - マンパッドシステム"
ah94-quickFlight_mp_surpriseAttack_b0,Text from a mission briefing.,"For this mission, you will need to act quickly and quietly.

The enemy plans to launch several groups of aircraft from their base.

Your objective is to destroy all of these aircraft before they take off.","このミッションでは、迅速かつ静かに行動する必要があります。

敵は基地から複数の航空機群を発進させる計画だ。

あなたの目的は、これらの航空機が離陸する前にすべてを破壊することです。"
ah94-quickFlight_mp_surpriseAttack_b1,Text from a mission briefing.,"You will be taking off from a forward arming and refueling point (FARP) about 30 miles from the target.

Fly low and make your way to the to the airbase undetected.","目標から約30マイル離れた前方兵站補給地点（FARP）から離陸することになる。

低空を飛行し、発見されないように空軍基地へ向かってください。"
ah94-quickFlight_mp_surpriseAttack_b2,Text from a mission briefing.,"A bomber is inbound to land at the airbase.  After it lands, the enemy fighters will begin to take off.  

You will have this window to strike while all aircraft are still on the ground.","爆撃機が基地に着陸しようとしている。爆撃機が着陸後、敵の戦闘機が離陸し始めます。

すべての航空機がまだ地上にいる間が、攻撃できるチャンスだ。"
ah94-quickFlight_mp_surpriseAttack_b3,Text from a mission briefing.,"Beware that if they spot you before you are ready to attack, they may launch preemptively to defend themselves.","攻撃態勢に入る前に発見されると、相手は自分を守るために先制攻撃を仕掛けてくるかもしれないことに注意しましょう。"
ah94-quickFlight_mp_surpriseAttack_b4,Text from a mission briefing.,"SUMMARY

Primary Targets:
- Landed aircraft

Threats:
- IR guided SAMs
- Small arms fire
- AAA","概要

主なターゲット
- 地上の航空機

脅威
- 赤外線誘導SAM
- 小火器
- AAA"
ah94-quickFlight_mp_Target Practice_b0,Text from a mission briefing.,"Practice using the AH-94's weapons on various targets.

Targets will not shoot back so take your time to learn the equipment.

Check the objectives data to find targets.","AH-94の武器を様々なターゲットに使用する練習をします。

ターゲットは撃ってこないので、じっくりと装備を覚えよう。

目標データを確認して、ターゲットを見つけよう。"
s_tgp_notSOI,TGP page error,NOT SOI,
GAU-94 20mm Rotary Cannon_fullName,Full equip name of: GAU-94 20mm Rotary Cannon,GAU-94 20mm Rotary Cannon,
Hydra-70 x57 Rocket Pod_fullName,Full equip name of: Hydra-70 x57 Rocket Pod,Hydra-70 x57 Rocket Pod,
AN/APG-108 Fire Control Radar_fullName,Full equip name of: AN/APG-108 Fire Control Radar,AN/APG-108 Fire Control Radar,
AIM-92 Stinger_fullName,Full equip name of: AIM-92 Stinger,AIM-92 Stinger,
PGM-27 x7_fullName,Full equip name of: PGM-27 x7,PGM-27 x7,
PGM-27 x19_fullName,Full equip name of: PGM-27 x19,PGM-27 x19,
GBU-39ER x4_fullName,Full equip name of: GBU-39ER x4,GBU-39ER x4,
eqSublabel_GPS,HUD sub-label of an equip,GPS,
870L Fuel Drop Tank_fullName,Full equip name of: 870L Fuel Drop Tank,870L Fuel Drop Tank,
AH-94_mfd_home:B1,Label for an MFD button (short!).,NAV,
AH-94_mfd_home:B1_tooltip,Tooltip for an MFD button.,Navigation,ナビゲーション
AH-94_mfd_home:B2,Label for an MFD button (short!).,OBJ,
AH-94_mfd_home:B2_tooltip,Tooltip for an MFD button.,Objectives,ミッション目標
AH-94_mfd_home:B3,Label for an MFD button (short!).,CAM,
AH-94_mfd_home:B3_tooltip,Tooltip for an MFD button.,External Cameras,外部カメラ
AH-94_mfd_home:B4,Label for an MFD button (short!).,TADS,
AH-94_mfd_home:B4_tooltip,Tooltip for an MFD button.,Targeting,ターゲッティングポッド
AH-94_mfd_home:L4,Label for an MFD button (short!).,GPS,
AH-94_mfd_home:L4_tooltip,Tooltip for an MFD button.,GPS Targets,GPSターゲット
AH-94_mfd_home:T5,Label for an MFD button (short!).,S-CAM,
AH-94_mfd_home:T5_tooltip,Tooltip for an MFD button.,Spectator Camera,観客カメラ
AH-94_mfd_home:R3,Label for an MFD button (short!).,GAME,
AH-94_mfd_home:R3_tooltip,Tooltip for an MFD button.,Game Menu,ゲームメニュー
AH-94_mfd_home:R5,Label for an MFD button (short!).,LOG,
AH-94_mfd_home:R5_tooltip,Tooltip for an MFD button.,Flight Log,フライトログ
AH-94_mfd_home:L2,Label for an MFD button (short!).,EQUIP,
AH-94_mfd_home:L2_tooltip,Tooltip for an MFD button.,Mounted Equipment,マウントされている装備
AH-94_mfd_home:L3,Label for an MFD button (short!).,OPTION,
AH-94_mfd_home:L3_tooltip,Tooltip for an MFD button.,Options,オプション
AH-94_mfd_home:B5,Label for an MFD button (short!).,COMMS,
AH-94_mfd_home:B5_tooltip,Tooltip for an MFD button.,Communications,通信
AH-94_mfd_home:T4,Label for an MFD button (short!).,RADAR,
AH-94_mfd_home:T4_tooltip,Tooltip for an MFD button.,Radar,レーダー
AH-94_mfd_home:R4,Label for an MFD button (short!).,DATA,
AH-94_mfd_home:R4_tooltip,Tooltip for an MFD button.,Flight Data,フライトデータ
AH-94_mfd_home:L5,Label for an MFD button (short!).,CMS,
AH-94_mfd_home:L5_tooltip,Tooltip for an MFD button.,Countermeasue System,対抗システム
AH-94_mfd_mission:B1,Label for an MFD button (short!).,WPT,
AH-94_mfd_mission:B1_tooltip,Tooltip for an MFD button.,Set Waypoint,ウェイポイントセット
AH-94_mfd_mission:B3,Label for an MFD button (short!).,NEXT,
AH-94_mfd_mission:B3_tooltip,Tooltip for an MFD button.,Next Objective,次の目標へ
AH-94_mfd_mission:B5,Label for an MFD button (short!).,PREV,
AH-94_mfd_mission:B5_tooltip,Tooltip for an MFD button.,Previous Objective,前の目標へ
AH-94_mfd_target:B3,Label for an MFD button (short!).,HEAD,
AH-94_mfd_target:B3_tooltip,Tooltip for an MFD button.,Head-track Mode,ヘルメット照準モード
AH-94_mfd_target:B2,Label for an MFD button (short!).,FWD,
AH-94_mfd_target:B2_tooltip,Tooltip for an MFD button.,Forward Mode,前方に向ける
AH-94_mfd_target:L1,Label for an MFD button (short!).,PWR,
AH-94_mfd_target:L1_tooltip,Tooltip for an MFD button.,Toggle TGP Power,TGP電源
AH-94_mfd_target:R1,Label for an MFD button (short!).,ZOOM+,
AH-94_mfd_target:R1_tooltip,Tooltip for an MFD button.,Zoom In,拡大
AH-94_mfd_target:R2,Label for an MFD button (short!).,ZOOM-,
AH-94_mfd_target:R2_tooltip,Tooltip for an MFD button.,Zoom Out,縮小
AH-94_mfd_target:R3,Label for an MFD button (short!).,GPS-S,
AH-94_mfd_target:R3_tooltip,Tooltip for an MFD button.,GPS Send,GPSターゲットを一覧に登録
AH-94_mfd_target:R4,Label for an MFD button (short!).,GPS-A,
AH-94_mfd_target:R4_tooltip,Tooltip for an MFD button.,GPS Acquire,GPSターゲットの位置を読み取り
AH-94_mfd_target:L2,Label for an MFD button (short!).,MODE,
AH-94_mfd_target:L2_tooltip,Tooltip for an MFD button.,Cycle Modes,サイクルモード
AH-94_mfd_target:L3,Label for an MFD button (short!).,SENS,
AH-94_mfd_target:L3_tooltip,Tooltip for an MFD button.,Sensor Mode,センサーモード
AH-94_mfd_target:T3,Label for an MFD button (short!).,WPT,
AH-94_mfd_target:T3_tooltip,Tooltip for an MFD button.,To Waypoint,ウェイポイントへ
AH-94_mfd_target:T4,Label for an MFD button (short!).,SOI,
AH-94_mfd_target:T4_tooltip,Tooltip for an MFD button.,Toggle Sensor of Interest,SOI（この画面を操作対象にする）
AH-94_mfd_target:B4,Label for an MFD button (short!).,HMD,
AH-94_mfd_target:B4_tooltip,Tooltip for an MFD button.,Toggle HMD View,HMDビュー切替
AH-94_mfd_target:L4,Label for an MFD button (short!).,LIM,
AH-94_mfd_target:L4_tooltip,Tooltip for an MFD button.,Toggle Limits Overlay,リミットオーバーレイ切替
AH-94_mfd_target:B1,Label for an MFD button (short!).,MARK,
AH-94_mfd_target:B1_tooltip,Tooltip for an MFD button.,Toggle Laser Marker,レーザーマーカー切替
AH-94_mfd_map:T2,Label for an MFD button (short!).,GPS,
AH-94_mfd_map:T2_tooltip,Tooltip for an MFD button.,GPS Targets,GPSターゲット
AH-94_mfd_map:R2,Label for an MFD button (short!).,ZOOM+,
AH-94_mfd_map:R3,Label for an MFD button (short!).,ZOOM-,
AH-94_mfd_map:R4,Label for an MFD button (short!).,UP,
AH-94_mfd_map:R5,Label for an MFD button (short!).,DOWN,
AH-94_mfd_map:B4,Label for an MFD button (short!).,LEFT,
AH-94_mfd_map:B5,Label for an MFD button (short!).,RIGHT,
AH-94_mfd_map:R1,Label for an MFD button (short!).,RESET,
AH-94_mfd_map:R1_tooltip,Tooltip for an MFD button.,Reset Offset,オフセットリセット
AH-94_mfd_map:T3,Label for an MFD button (short!).,MODE,
AH-94_mfd_map:T3_tooltip,Tooltip for an MFD button.,Toggle Rotation Mode,ローテーションモード切替
AH-94_mfd_map:T4,Label for an MFD button (short!).,SOI,
AH-94_mfd_map:T4_tooltip,Tooltip for an MFD button.,Toggle Sensor of Interest,SOI（この画面を操作対象にする）
AH-94_mfd_map:L4,Label for an MFD button (short!).,FUEL,
AH-94_mfd_map:L4_tooltip,Tooltip for an MFD button.,Set Fuel Waypoint,給油ウェイポイントセット
AH-94_mfd_map:L3,Label for an MFD button (short!).,RTB,
AH-94_mfd_map:L3_tooltip,Tooltip for an MFD button.,Set Return to Base Waypoint,RTBウェイポイントセット
AH-94_mfd_map:L2,Label for an MFD button (short!).,OBJ,
AH-94_mfd_map:L2_tooltip,Tooltip for an MFD button.,Set Objective Waypoint,目標ウェイポイントセット
AH-94_mfd_map:B1,Label for an MFD button (short!).,ALT-,
AH-94_mfd_map:B1_tooltip,Tooltip for an MFD button.,Lower Target Alt,目標高度を下げる
AH-94_mfd_map:B2,Label for an MFD button (short!).,ALT+,
AH-94_mfd_map:B2_tooltip,Tooltip for an MFD button.,Raise Target Alt,目標高度を上げる
AH-94_mfd_map:B3,Label for an MFD button (short!).,GPS-S,
AH-94_mfd_map:B3_tooltip,Tooltip for an MFD button.,Send GPS Target,GPSターゲットを一覧に登録
AH-94_mfd_cam:B1,Label for an MFD button (short!).,PREV,
AH-94_mfd_cam:B3,Label for an MFD button (short!).,NEXT,
AH-94_mfd_hardpoints:T4_tooltip,Tooltip for an MFD button.,HP Gun,
AH-94_mfd_hardpoints:L2_tooltip,Tooltip for an MFD button.,HP 1,
AH-94_mfd_hardpoints:L1_tooltip,Tooltip for an MFD button.,HP 2,
AH-94_mfd_hardpoints:R1_tooltip,Tooltip for an MFD button.,HP 3,
AH-94_mfd_hardpoints:R2_tooltip,Tooltip for an MFD button.,HP 4,
AH-94_mfd_hardpoints:L3_tooltip,Tooltip for an MFD button.,HP 5,
AH-94_mfd_hardpoints:R3_tooltip,Tooltip for an MFD button.,HP 6,
AH-94_mfd_hardpoints:B2,Label for an MFD button (short!).,MODE,
AH-94_mfd_hardpoints:B2_tooltip,Tooltip for an MFD button.,Toggle Mode,モード切替
AH-94_mfd_flyCam:B2,Label for an MFD button (short!).,START,
AH-94_mfd_flyCam:B2_tooltip,Tooltip for an MFD button.,Start Camera,カメラスタート
AH-94_mfd_flyCam:B3,Label for an MFD button (short!).,END,
AH-94_mfd_flyCam:B3_tooltip,Tooltip for an MFD button.,End Camera,カメラ停止
AH-94_mfd_flyCam:B1,Label for an MFD button (short!).,VIEW,
AH-94_mfd_flyCam:B1_tooltip,Tooltip for an MFD button.,Toggle Preview,プレビューの切替
AH-94_mfd_flyCam:R1,Label for an MFD button (short!).,RANDM,
